datetime	symbol	open	high	low	close	volume
2020-08-03 09:00:00	HNX:VGS	5270.0916997	5495.95277289	5044.2306265	5420.66574818	196965.29015174
2020-09-01 09:00:00	HNX:VGS	5420.66574818	6098.24896682	5270.0916997	5797.10086986	554800.02226
2020-10-01 09:00:00	HNX:VGS	5872.38789362	6549.97111226	5571.23979666	6098.24896682	1773735.51131322
2020-11-02 09:00:00	HNX:VGS	6098.24896682	8582.72076818	5872.38789362	7905.13754954	4208323.13958384
2020-12-01 09:00:00	HNX:VGS	7754.56350085	10841.33149633	7603.98945229	9636.73910785	5709363.65343655
2021-01-04 09:00:00	HNX:VGS	9636.73910785	10916.61852061	7453.41540373	9109.72993789	9069072.74565757
2021-02-01 09:00:00	HNX:VGS	9410.87803501	13777.52544325	8808.58184077	13777.52544325	10329470.54869739
2021-03-01 09:00:00	HNX:VGS	14003.38651609	15734.98807453	12196.49793337	14680.96973461	17076188.25811938
2021-04-01 09:00:00	HNX:VGS	15433.83997741	18821.75607002	13928.09949181	15960.84914737	18679804.56723106
2021-05-04 09:00:00	HNX:VGS	15960.84914737	19198.19119142	14680.96973461	15433.83997741	16315917.80584231
2021-06-01 09:00:00	HNX:VGS	15509.12700169	16036.13617165	13777.52544325	14304.53461321	11263457.52284612
2021-07-01 09:00:00	HNX:VGS	14304.53461321	14605.68271033	10163.74827781	11443.62769057	5968964.82889668
2021-08-02 09:00:00	HNX:VGS	11443.62769057	27856.19898362	11067.19256917	25221.15313382	25553614.56236229
2021-09-01 09:00:00	HNX:VGS	25221.15313382	28533.78220214	22209.67216262	24167.1347939	16414145.88791512
2021-10-01 09:00:00	HNX:VGS	24167.1347939	34406.17009599	23715.41264822	33352.15175607	20871203.43812102
2021-11-01 09:00:00	HNX:VGS	33352.15175607	38019.94726143	29361.93946923	36965.92892151	28513836.48813457
2021-12-01 09:00:00	HNX:VGS	36213.05867871	38697.53047995	29587.80054207	32900.42961039	28473837.56363468
2022-01-04 09:00:00	HNX:VGS	32900.42961039	35008.46629023	19649.9133371	21833.23704122	12288109.52281135
2022-02-07 09:00:00	HNX:VGS	22209.67216262	28834.93029927	22059.09811406	28759.64327498	6189042.59340446
2022-03-01 09:00:00	HNX:VGS	29060.79137211	33126.29068323	26049.3104009	26425.7455223	11605922.91109267
2022-04-01 09:00:00	HNX:VGS	26425.7455223	28157.34708074	12949.36817617	19273.4782157	5798068.18205701
2022-05-04 09:00:00	HNX:VGS	19649.9133371	20703.93167702	14003.38651609	17692.45070582	6508659.42286615
2022-06-01 09:00:00	HNX:VGS	17391.3026087	18219.45987578	10540.18339921	12949.36817617	5229279.59717813
2022-07-01 09:00:00	HNX:VGS	12798.79412761	15584.41792208	11669.48876341	14285.71642857	4761642.36112493
2022-08-01 09:00:00	HNX:VGS	14372.29652814	16536.79901732	14372.29652814	15064.93732468	5493491.02597632
2022-09-05 09:00:00	HNX:VGS	15064.93732468	19307.36220346	12987.01493506	14285.71642857	13718906.60716394
2022-10-03 09:00:00	HNX:VGS	14285.71642857	14632.03682684	8225.10945887	8484.84975758	7626500.81602484
2022-11-01 09:00:00	HNX:VGS	8484.84975758	9523.81095238	5021.64577489	9177.49055411	15204804.64427923
2022-12-01 09:00:00	HNX:VGS	9437.23085281	11082.25274459	7792.20896104	9177.49055411	21388497.00172534
2023-01-03 09:00:00	HNX:VGS	9350.65075325	11861.47364069	9090.91045455	11688.31344156	13371093.42433592
2023-02-01 09:00:00	HNX:VGS	11688.31344156	12034.63383983	9783.55125108	10216.45174892	13918983.76215237
2023-03-01 09:00:00	HNX:VGS	10216.45174892	11774.89354113	10043.29154978	10909.09254545	12885744.01713833
2023-04-03 09:00:00	HNX:VGS	10995.67264502	12034.63383983	10389.61194805	10822.51244589	14708406.50873895
2023-05-04 09:00:00	HNX:VGS	10735.93234632	14545.45672727	10649.35224675	14285.71642857	23720738.4868891
2023-06-01 09:00:00	HNX:VGS	13852.81593074	16623.37911688	13419.9154329	15238.09752381	24840323.70895132
2023-07-03 09:00:00	HNX:VGS	15151.51742424	17142.85971429	15064.93732468	15930.73832035	18847229.42291549
2023-08-01 09:00:00	HNX:VGS	14718.61692641	17316.01991342	13246.75523377	15497.83782251	19881468.24277966
2023-09-05 09:00:00	HNX:VGS	16666.6675	23142.8583	15904.7627	18761.9057	25698455.76507721
2023-10-02 09:00:00	HNX:VGS	18476.1914	20380.9534	14857.1436	15523.8103	26425785.47871073
2023-11-01 09:00:00	HNX:VGS	15523.8103	22285.7154	15238.096	21142.8582	33857858.35710707
2023-12-01 09:00:00	HNX:VGS	21142.8582	23333.3345	20000.001	22000.0011	19831694.45841527
2024-01-02 09:00:00	HNX:VGS	22190.4773	22285.7154	20000.001	20761.9058	16248790.13756049
2024-02-01 09:00:00	HNX:VGS	20761.9058	24095.2393	20571.4296	23428.5726	19097603.79511981
2024-03-01 09:00:00	HNX:VGS	23523.8107	27047.6204	23047.6202	25428.5727	26934130.35329348
2024-04-01 09:00:00	HNX:VGS	25428.5727	28476.1919	21904.763	24000.0012	27036030.74819846
2024-05-02 09:00:00	HNX:VGS	23809.525	35714.2875	22952.3821	34952.3827	28344819.98275901
2024-06-03 09:00:00	HNX:VGS	34952.3827	39047.621	32285.7159	33809.5255	19250720.037464
2024-07-01 09:00:00	HNX:VGS	33619.0493	43333.3355	32000.0	34400.0	29887359.13606109
2024-08-01 09:00:00	HNX:VGS	34000.0	39000.0	30500.0	36600.0	22791064.0
2024-09-04 09:00:00	HNX:VGS	36600.0	39500.0	33600.0	39100.0	14264845.0
2024-10-01 09:00:00	HNX:VGS	39000.0	40100.0	33200.0	34500.0	17106118.0
2024-11-01 09:00:00	HNX:VGS	34500.0	35200.0	28600.0	32300.0	12708230.0
