datetime	symbol	open	high	low	close	volume
2020-09-01 09:00:00	HOSE:KMR	2180.0	2290.0	2120.0	2220.0	1227820.0
2020-10-01 09:00:00	HOSE:KMR	2220.0	2320.0	2150.0	2250.0	1664000.0
2020-11-02 09:00:00	HOSE:KMR	2270.0	2730.0	2230.0	2510.0	6352520.0
2020-12-01 09:00:00	HOSE:KMR	2500.0	2980.0	2450.0	2950.0	3958650.0
2021-01-04 09:00:00	HOSE:KMR	3000.0	3500.0	2520.0	2680.0	8738300.0
2021-02-01 09:00:00	HOSE:KMR	2520.0	2790.0	2370.0	2770.0	1690600.0
2021-03-01 09:00:00	HOSE:KMR	2930.0	3690.0	2850.0	3390.0	9034000.0
2021-04-01 09:00:00	HOSE:KMR	3330.0	4800.0	3330.0	3980.0	15515100.0
2021-05-04 09:00:00	HOSE:KMR	3720.0	7310.0	3400.0	7300.0	22713100.0
2021-06-01 09:00:00	HOSE:KMR	7300.0	9600.0	6800.0	9180.0	19601900.0
2021-07-01 09:00:00	HOSE:KMR	9180.0	9410.0	6850.0	7510.0	6751800.0
2021-08-02 09:00:00	HOSE:KMR	7400.0	8580.0	7160.0	7500.0	8474300.0
2021-09-01 09:00:00	HOSE:KMR	7500.0	9300.0	7040.0	7700.0	13894100.0
2021-10-01 09:00:00	HOSE:KMR	7800.0	9300.0	7350.0	8750.0	10975900.0
2021-11-01 09:00:00	HOSE:KMR	8700.0	11500.0	8410.0	9500.0	30259100.0
2021-12-01 09:00:00	HOSE:KMR	9500.0	11100.0	8600.0	9900.0	18637400.0
2022-01-04 09:00:00	HOSE:KMR	10000.0	11950.0	6850.0	7280.0	14719900.0
2022-02-07 09:00:00	HOSE:KMR	7300.0	8500.0	7250.0	8120.0	4323300.0
2022-03-01 09:00:00	HOSE:KMR	8150.0	9790.0	8000.0	9010.0	10953600.0
2022-04-01 09:00:00	HOSE:KMR	8800.0	9200.0	5540.0	6730.0	5721500.0
2022-05-04 09:00:00	HOSE:KMR	6870.0	6870.0	5040.0	6250.0	2705000.0
2022-06-01 09:00:00	HOSE:KMR	5990.0	6230.0	4060.0	4330.0	3377700.0
2022-07-01 09:00:00	HOSE:KMR	4200.0	4790.0	4100.0	4530.0	1826500.0
2022-08-01 09:00:00	HOSE:KMR	4590.0	5100.0	4420.0	4510.0	3130000.0
2022-09-05 09:00:00	HOSE:KMR	4460.0	4530.0	3500.0	3700.0	1348100.0
2022-10-03 09:00:00	HOSE:KMR	3700.0	3700.0	2690.0	2950.0	1543900.0
2022-11-01 09:00:00	HOSE:KMR	2990.0	3140.0	2110.0	3050.0	1779200.0
2022-12-01 09:00:00	HOSE:KMR	3060.0	3320.0	2550.0	2760.0	1485400.0
2023-01-03 09:00:00	HOSE:KMR	2880.0	3200.0	2650.0	3120.0	1044400.0
2023-02-01 09:00:00	HOSE:KMR	3140.0	3230.0	2940.0	3040.0	1262700.0
2023-03-01 09:00:00	HOSE:KMR	3040.0	3060.0	2690.0	2690.0	935500.0
2023-04-03 09:00:00	HOSE:KMR	2800.0	2980.0	2690.0	2810.0	1269500.0
2023-05-04 09:00:00	HOSE:KMR	2800.0	3950.0	2710.0	3820.0	5609000.0
2023-06-01 09:00:00	HOSE:KMR	3850.0	4600.0	3700.0	3820.0	7928900.0
2023-07-03 09:00:00	HOSE:KMR	3900.0	4160.0	3790.0	4070.0	3757100.0
2023-08-01 09:00:00	HOSE:KMR	4070.0	4350.0	3360.0	3750.0	5245900.0
2023-09-05 09:00:00	HOSE:KMR	3750.0	3880.0	3320.0	3440.0	1808300.0
2023-10-02 09:00:00	HOSE:KMR	3380.0	3680.0	3230.0	3520.0	1217900.0
2023-11-01 09:00:00	HOSE:KMR	3430.0	3660.0	3430.0	3500.0	991100.0
2023-12-01 09:00:00	HOSE:KMR	3500.0	3590.0	3280.0	3530.0	574200.0
2024-01-02 09:00:00	HOSE:KMR	3530.0	3590.0	3460.0	3510.0	701100.0
2024-02-01 09:00:00	HOSE:KMR	3510.0	3700.0	3460.0	3560.0	1289200.0
2024-03-01 09:00:00	HOSE:KMR	3570.0	3650.0	3510.0	3610.0	1504200.0
2024-04-01 09:00:00	HOSE:KMR	3600.0	3600.0	3250.0	3420.0	794700.0
2024-05-02 09:00:00	HOSE:KMR	3350.0	3630.0	3330.0	3560.0	1516800.0
2024-06-03 09:00:00	HOSE:KMR	3620.0	3620.0	3450.0	3480.0	1013300.0
2024-07-01 09:00:00	HOSE:KMR	3520.0	3610.0	3210.0	3500.0	599600.0
2024-08-01 09:00:00	HOSE:KMR	3460.0	3500.0	3170.0	3400.0	427100.0
2024-09-04 09:00:00	HOSE:KMR	3300.0	3440.0	3200.0	3250.0	667600.0
2024-10-01 09:00:00	HOSE:KMR	3290.0	3300.0	3010.0	3200.0	364800.0
2024-11-01 09:00:00	HOSE:KMR	3200.0	3260.0	3150.0	3200.0	283400.0
2024-12-02 09:00:00	HOSE:KMR	3160.0	3340.0	3150.0	3250.0	218500.0
2025-01-02 09:00:00	HOSE:KMR	3250.0	3280.0	3190.0	3220.0	153100.0
2025-02-03 09:00:00	HOSE:KMR	3210.0	3510.0	3210.0	3400.0	759200.0
2025-03-03 09:00:00	HOSE:KMR	3400.0	3400.0	3250.0	3320.0	296900.0
