datetime	symbol	open	high	low	close	volume
2022-11-07 09:00:00	UPCOM:TW3	12000.0	12000.0	12000.0	12000.0	1900.0
2022-12-19 09:00:00	UPCOM:TW3	12000.0	12000.0	12000.0	12000.0	1100.0
2023-01-03 09:00:00	UPCOM:TW3	12900.0	12900.0	12900.0	12900.0	400.0
2023-02-13 09:00:00	UPCOM:TW3	12900.0	12900.0	12900.0	12900.0	200.0
2023-03-06 09:00:00	UPCOM:TW3	13200.0	13200.0	13200.0	13200.0	500.0
2023-03-13 09:00:00	UPCOM:TW3	13200.0	13200.0	13100.0	13100.0	1700.0
2023-04-03 09:00:00	UPCOM:TW3	14500.0	14500.0	14500.0	14500.0	300.0
2023-04-10 09:00:00	UPCOM:TW3	14500.0	17900.0	14500.0	15300.0	2300.0
2023-05-08 09:00:00	UPCOM:TW3	15300.0	15300.0	15300.0	15300.0	100.0
2023-05-15 09:00:00	UPCOM:TW3	13200.0	15200.0	13200.0	13600.0	900.0
2023-05-29 09:00:00	UPCOM:TW3	13500.0	13500.0	13500.0	13500.0	27900.0
2023-06-19 09:00:00	UPCOM:TW3	13000.0	13000.0	13000.0	13000.0	900.0
2023-06-26 09:00:00	UPCOM:TW3	14900.0	14900.0	14800.0	14900.0	1100.0
2023-07-03 09:00:00	UPCOM:TW3	14900.0	17100.0	13500.0	17100.0	2000.0
2023-07-10 09:00:00	UPCOM:TW3	17100.0	17100.0	13100.0	13100.0	600.0
2023-09-18 09:00:00	UPCOM:TW3	13200.0	13200.0	13200.0	13200.0	100.0
2023-09-25 09:00:00	UPCOM:TW3	14000.0	14000.0	13000.0	13000.0	500.0
2023-10-02 09:00:00	UPCOM:TW3	13100.0	13100.0	13000.0	13000.0	4000.0
2023-10-16 09:00:00	UPCOM:TW3	14500.0	14900.0	14500.0	14900.0	200.0
2023-10-23 09:00:00	UPCOM:TW3	13000.0	13000.0	12500.0	12500.0	1200.0
2023-11-20 09:00:00	UPCOM:TW3	12900.0	12900.0	12900.0	12900.0	100.0
2023-11-27 09:00:00	UPCOM:TW3	13000.0	13000.0	13000.0	13000.0	100.0
2023-12-04 09:00:00	UPCOM:TW3	14700.0	14700.0	13000.0	14700.0	500.0
2023-12-18 09:00:00	UPCOM:TW3	15000.0	16000.0	13600.0	13600.0	500.0
2023-12-25 09:00:00	UPCOM:TW3	15100.0	15100.0	13000.0	13000.0	400.0
2024-01-02 09:00:00	UPCOM:TW3	13000.0	13000.0	13000.0	13000.0	100.0
2024-01-08 09:00:00	UPCOM:TW3	14900.0	14900.0	13000.0	13000.0	2600.0
2024-01-15 09:00:00	UPCOM:TW3	13000.0	13000.0	13000.0	13000.0	100.0
2024-01-22 09:00:00	UPCOM:TW3	11100.0	11100.0	11100.0	11100.0	200.0
2024-01-29 09:00:00	UPCOM:TW3	12700.0	14600.0	12700.0	14000.0	1800.0
2024-02-05 09:00:00	UPCOM:TW3	12000.0	13800.0	12000.0	13800.0	400.0
2024-02-19 09:00:00	UPCOM:TW3	13000.0	14900.0	13000.0	13200.0	2400.0
2024-02-26 09:00:00	UPCOM:TW3	13500.0	13500.0	13200.0	13200.0	200.0
2024-03-04 09:00:00	UPCOM:TW3	15100.0	16600.0	13200.0	13200.0	2300.0
2024-03-11 09:00:00	UPCOM:TW3	13600.0	13900.0	13600.0	13900.0	500.0
2024-03-18 09:00:00	UPCOM:TW3	13200.0	13200.0	13200.0	13200.0	100.0
2024-04-01 09:00:00	UPCOM:TW3	13500.0	14000.0	13500.0	14000.0	500.0
2024-04-08 09:00:00	UPCOM:TW3	12600.0	12600.0	12600.0	12600.0	1900.0
2024-04-22 09:00:00	UPCOM:TW3	14400.0	14400.0	14400.0	14400.0	100.0
2024-05-13 09:00:00	UPCOM:TW3	16500.0	16500.0	14100.0	14100.0	300.0
2024-05-27 09:00:00	UPCOM:TW3	12000.0	12000.0	12000.0	12000.0	100.0
2024-06-24 09:00:00	UPCOM:TW3	10200.0	10200.0	10200.0	10200.0	116400.0
2024-07-15 09:00:00	UPCOM:TW3	11000.0	11000.0	11000.0	11000.0	100.0
2024-09-30 09:00:00	UPCOM:TW3	13000.0	13000.0	12900.0	12900.0	600.0
