datetime	symbol	open	high	low	close	volume
2021-07-02 13:00:00	HNX:BSC	14200.0	14200.0	14200.0	14200.0	200.0
2021-07-06 13:00:00	HNX:BSC	14400.0	14400.0	14400.0	14400.0	100.0
2021-07-08 09:00:00	HNX:BSC	14400.0	14400.0	14400.0	14400.0	1200.0
2021-07-28 13:00:00	HNX:BSC	15800.0	15800.0	15800.0	15800.0	100.0
2021-08-18 09:00:00	HNX:BSC	14300.0	17300.0	14300.0	17300.0	300.0
2021-08-26 09:00:00	HNX:BSC	17400.0	17400.0	17400.0	17400.0	200.0
2021-08-26 13:00:00	HNX:BSC	17400.0	17400.0	17400.0	17400.0	200.0
2021-08-27 09:00:00	HNX:BSC	17200.0	17200.0	17200.0	17200.0	200.0
2021-08-31 13:00:00	HNX:BSC	15500.0	15500.0	15500.0	15500.0	100.0
2021-09-01 13:00:00	HNX:BSC	15000.0	15000.0	15000.0	15000.0	100.0
2021-09-06 09:00:00	HNX:BSC	15000.0	15000.0	13800.0	13800.0	400.0
2021-09-06 13:00:00	HNX:BSC	14500.0	14500.0	14500.0	14500.0	100.0
2021-09-24 13:00:00	HNX:BSC	15800.0	15800.0	15800.0	15800.0	200.0
2021-09-28 09:00:00	HNX:BSC	15800.0	15800.0	15800.0	15800.0	200.0
2021-10-06 09:00:00	HNX:BSC	15000.0	15000.0	15000.0	15000.0	100.0
2021-10-28 09:00:00	HNX:BSC	16500.0	16500.0	16200.0	16200.0	200.0
2021-11-10 13:00:00	HNX:BSC	16000.0	16000.0	16000.0	16000.0	100.0
2021-11-15 09:00:00	HNX:BSC	17600.0	17600.0	17600.0	17600.0	100.0
2021-11-17 09:00:00	HNX:BSC	19300.0	19300.0	19300.0	19300.0	100.0
2021-11-17 13:00:00	HNX:BSC	19200.0	19200.0	19200.0	19200.0	300.0
2021-11-23 09:00:00	HNX:BSC	19200.0	19200.0	19200.0	19200.0	100.0
2021-11-25 13:00:00	HNX:BSC	19000.0	19000.0	19000.0	19000.0	100.0
2021-11-26 09:00:00	HNX:BSC	19200.0	19200.0	19200.0	19200.0	100.0
2021-11-29 13:00:00	HNX:BSC	18000.0	18000.0	18000.0	18000.0	200.0
